@relation 'ISBSG10_952Instances-weka.filters.unsupervised.attribute.Remove-R9,29-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,4-weka.filters.unsupervised.attribute.Remove-R2,4,7,9,12,14-15,18,20-24,26-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3'

@attribute FunctionalSize numeric
@attribute ValueAdjustmentFactor numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute BusinessAreaType {Banking,Telecommunications}
@attribute ClientServer {Yes,No}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute FirstOS {Unix,Mainframe,Windows}
@attribute MaxTeamSize numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
3,1.09,0,Enhancement,?,Yes,?,?,?,?,28
620,?,7,New_Development,?,?,MF,3GL,Unix,?,18160
730,1.14,?,Enhancement,?,?,MF,3GL,Unix,?,20975
114,1.18,?,Enhancement,?,?,?,3GL,?,?,7290
460,1,4,Enhancement,?,?,?,?,?,5,2253
7,1.1,1.87,Enhancement,?,Yes,?,4GL,?,?,396
80,1.12,13.7,Enhancement,?,No,MF,3GL,Mainframe,3.5,3199
4,?,0.1,Enhancement,?,?,MF,3GL,Mainframe,?,145
309,?,3,New_Development,?,?,PC,4GL,Windows,?,2516
69,0.95,9,New_Development,?,Yes,?,3GL,?,?,2915
275,1.23,5.46,Enhancement,?,?,?,?,?,?,1888
68,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,2710
12,1.11,2.5,Enhancement,?,Yes,?,4GL,?,?,343
702,?,12.3,New_Development,?,Yes,Multi,4GL,Windows,?,4805
154,1,6,New_Development,Banking,?,MF,3GL,Mainframe,9,2408
3,?,?,Enhancement,?,?,MF,3GL,?,?,65
46,1.12,7,Enhancement,Telecommunications,?,?,4GL,?,11,4063
203,1.18,?,Enhancement,?,?,?,3GL,?,?,1822
14,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,180
687,1,6,Enhancement,?,?,?,?,?,4,1788
28,1,4,New_Development,?,?,?,3GL,?,4,686
24,?,2.7,Enhancement,?,?,MF,3GL,Mainframe,?,2347
267,?,?,Enhancement,?,Yes,Multi,4GL,?,?,8486
324,1,12,New_Development,Banking,?,MF,3GL,Mainframe,8,5867
113,1.21,2.56,Enhancement,?,Yes,?,4GL,?,?,1847
307,0.95,13,Enhancement,Telecommunications,?,?,3GL,?,11,2994
87,0.95,4,Enhancement,Telecommunications,?,?,4GL,?,4,1606
745,1.3,?,Enhancement,?,?,?,3GL,?,?,15112
77,1.02,6,Enhancement,Telecommunications,?,?,3GL,?,6,1936
49,1.18,1.84,Enhancement,?,Yes,?,4GL,?,?,161
161,1.15,?,Enhancement,?,?,MF,3GL,Unix,?,9719
387,1,5,Enhancement,?,?,?,?,?,4,1235
340,1.15,7,Enhancement,Telecommunications,?,MR,4GL,Unix,3,676
40,?,?,Enhancement,?,Yes,Multi,4GL,?,?,261
51,1,3,Enhancement,?,?,?,?,?,5,417
100,1.28,6.84,Enhancement,?,?,?,?,?,?,878
31,?,?,Enhancement,?,Yes,Multi,4GL,?,?,578
70,1.1,1,Enhancement,Telecommunications,?,PC,3GL,Windows,?,436
228,1.02,9.1,Enhancement,?,No,MF,3GL,?,4.5,5876
18,1.18,1.87,Enhancement,?,Yes,?,4GL,?,?,268
2697,1.17,6,Enhancement,Telecommunications,?,MF,3GL,Mainframe,27,10957
34,?,?,Enhancement,?,?,MF,4GL,?,?,847
155,1.18,?,Enhancement,?,?,?,3GL,?,?,8385
307,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1596
310,1.12,14.7,Enhancement,?,No,MF,3GL,Mainframe,4,5971
200,1,7,New_Development,Banking,No,MF,3GL,Mainframe,6,1935
474,1,7,New_Development,?,?,?,3GL,?,5,1644
215,?,8,Enhancement,Telecommunications,?,?,4GL,Windows,9,1946
124,?,5,Enhancement,?,?,PC,3GL,Windows,?,2800
170,1,?,Enhancement,Banking,No,MF,3GL,Mainframe,?,2192
539,?,6,Enhancement,?,?,MR,3GL,Unix,5,2409
455,1,20,New_Development,?,?,?,4GL,?,6,10670
397,?,?,Enhancement,?,Yes,Multi,4GL,?,?,4668
153,1.16,?,Enhancement,?,?,?,3GL,?,?,2611
407,?,1.9,Enhancement,?,?,MR,3GL,Windows,?,1472
51,?,?,Enhancement,?,?,MF,3GL,?,?,385
61,1.18,1.81,Enhancement,?,Yes,?,4GL,?,?,353
116,1,5,Enhancement,?,?,?,4GL,?,2,1400
117,?,?,Enhancement,?,Yes,Multi,4GL,?,?,3107
95,1.11,13,Enhancement,Telecommunications,?,?,3GL,?,14,4220
36,1.18,2.73,Enhancement,?,Yes,?,4GL,?,?,734
156,1,4,Enhancement,?,?,?,?,?,?,901
299,1.11,17,New_Development,?,?,?,?,?,8,8772
299,1.19,1.48,Enhancement,?,?,?,3GL,?,?,1989
114,0.86,15,Enhancement,Telecommunications,?,?,4GL,?,8,3583
99,1,2,New_Development,?,?,?,?,?,1,340
142,1,9,New_Development,Banking,?,MF,3GL,Mainframe,6,3090
27,?,?,Enhancement,?,?,MF,3GL,?,?,449
99,1,8,Enhancement,?,?,?,3GL,?,2,1200
409,1.01,4,Enhancement,Telecommunications,?,?,?,?,2,554
32,0.73,6,Enhancement,?,?,MF,3GL,Mainframe,4,1543
198,0.97,8,Enhancement,Telecommunications,?,?,4GL,?,5,2151
7,?,?,Enhancement,?,?,MF,3GL,?,?,94
118,?,?,Enhancement,?,Yes,Multi,3GL,?,?,4485
7,1.19,2.53,Enhancement,?,Yes,?,?,?,?,95
424,?,6.9,New_Development,?,?,PC,3GL,Windows,?,6944
171,1,6,Enhancement,?,?,?,?,?,6,3920
135,1.06,4,Enhancement,Telecommunications,?,?,4GL,?,6,1139
